City,Condition,Temperature,Wind,Humidity,Pressure,Visibility,DateTime
Tokyo,Clear,-10.0,30.0,96.0,992.0,Good,2019-12-21
Paris,Cloudy,12.0,10.0,50.0,1001.795154185022,Moderate,2001-08-23
Tokyo,Rainy,13.8980044345898,15.0,81.0,1024.0,Poor,2015-05-30
Rome,Clear,-10.0,30.0,47.0,1019.0,Good,2005-12-28
Berlin,Cloudy,3.0,20.0,5.0,995.0,Good,2009-08-18
Sydney,Snowy,3.0,50.0,45.0,1050.0,Good,2009-07-15
Moscow,Snowy,-4.0,10.0,38.0,950.0,Moderate,2007-09-07
London,Clear,13.8980044345898,5.0,96.0,1001.795154185022,Good,2000-01-10
Moscow,Rainy,32.0,10.0,20.0,988.0,Good,2009-12-01
Tokyo,Snowy,13.8980044345898,20.0,36.0,991.0,Moderate,2005-05-01
Tokyo,Rainy,26.0,10.0,39.0,994.0,Poor,2020-01-06
Tokyo,Rainy,13.0,15.0,99.0,1002.0,Good,2004-02-26
Sydney,Cloudy,37.0,5.0,62.0,986.0,Good,2017-07-13
Berlin,Cloudy,23.0,1.0,66.0,1013.0,Poor,2013-02-22
Paris,Clear,3.0,25.0,24.0,950.0,Moderate,2023-12-07
Beijing,Cloudy,5.0,5.0,76.0,1025.0,Poor,2022-11-19
Sydney,Clear,10.0,10.0,28.0,992.0,Poor,2000-05-31
Rome,Snowy,-4.0,17.997777777777777,26.0,1001.795154185022,Poor,2003-09-11
Berlin,Rainy,37.0,10.0,55.0,1050.0,Good,2018-06-29
Sydney,Stormy,9.0,30.0,26.0,1020.0,Moderate,2011-06-29
London,Clear,16.0,20.0,55.0,989.0,Poor,2006-04-24
New York,Snowy,-6.0,25.0,58.0,1012.0,Poor,2014-12-17
London,Stormy,-9.0,30.0,49.0,1015.0,Good,2022-04-04
Madrid,Cloudy,19.0,5.0,5.0,985.0,Poor,2013-08-15
Berlin,Cloudy,39.0,10.0,77.0,983.0,Poor,2007-03-09
Beijing,Cloudy,12.0,5.0,71.0,996.0,Poor,2010-11-06
Tokyo,Cloudy,1.0,17.997777777777777,80.0,980.0,Moderate,2018-02-24
New York,Stormy,1.0,10.0,88.0,985.0,Moderate,2024-09-04
Moscow,Rainy,-4.0,20.0,36.0,981.0,Poor,2024-01-29
Moscow,Rainy,13.8980044345898,25.0,41.0,1001.795154185022,Poor,2007-10-09
Sydney,Cloudy,13.8980044345898,50.0,50.0,996.0,Good,2002-05-07
Rome,Cloudy,9.0,15.0,27.0,1019.0,Good,2015-08-15
Rome,Cloudy,13.0,15.0,24.0,994.0,Poor,2020-03-20
Moscow,Rainy,36.0,50.0,82.0,990.0,Good,2006-01-22
Madrid,Cloudy,7.0,5.0,85.0,996.0,Good,2024-09-12
Berlin,Stormy,3.0,17.997777777777777,28.0,1013.0,Poor,2002-10-23
Beijing,Clear,-100.0,30.0,59.08647450110865,1011.0,Poor,2019-06-28
Paris,Rainy,28.0,10.0,22.0,998.0,Poor,2016-01-26
Tokyo,Rainy,-3.0,25.0,60.0,984.0,Poor,2022-10-14
Madrid,Stormy,-3.0,15.0,27.0,1009.0,Moderate,2008-09-21
New York,Cloudy,13.8980044345898,5.0,59.08647450110865,981.0,Good,2001-12-23
Berlin,Snowy,-5.0,25.0,110.0,999.0,Moderate,2005-10-03
Tokyo,Cloudy,26.0,10.0,59.08647450110865,994.0,Moderate,2003-02-01
Berlin,Snowy,5.0,5.0,93.0,950.0,Good,2006-04-07
Madrid,Rainy,13.8980044345898,17.997777777777777,80.0,997.0,Good,2023-07-14
Sydney,Clear,18.0,1.0,25.0,1015.0,Poor,2003-07-14
Madrid,Rainy,13.8980044345898,30.0,94.0,1001.795154185022,Good,2009-06-30
Berlin,Stormy,27.0,17.997777777777777,59.08647450110865,996.0,Moderate,2019-04-26
Moscow,Snowy,24.0,1.0,82.0,982.0,Poor,2024-11-28
Paris,Clear,4.0,25.0,75.0,992.0,Poor,2013-05-07
Moscow,Clear,-5.0,30.0,72.0,1001.795154185022,Moderate,2004-01-30
Moscow,Snowy,200.0,10.0,67.0,950.0,Moderate,2022-08-28
New York,Rainy,1.0,1.0,48.0,1018.0,Good,2019-01-14
Beijing,Snowy,33.0,10.0,21.0,1020.0,Poor,2011-05-28
New York,Cloudy,16.0,10.0,23.0,980.0,Poor,2007-11-09
Madrid,Rainy,-5.0,5.0,33.0,1015.0,Moderate,2010-08-25
Beijing,Snowy,-8.0,17.997777777777777,68.0,1021.0,Good,2015-09-26
New York,Stormy,19.0,5.0,82.0,1006.0,Moderate,2010-01-13
Tokyo,Clear,13.8980044345898,10.0,82.0,996.0,Moderate,2017-08-25
Madrid,Cloudy,0.0,5.0,59.08647450110865,1016.0,Good,2020-05-07
London,Clear,7.0,20.0,85.0,1015.0,Moderate,2018-08-10
New York,Rainy,37.0,17.997777777777777,62.0,983.0,Poor,2022-08-23
London,Stormy,4.0,1.0,77.0,1024.0,Moderate,2013-01-04
London,Clear,14.0,17.997777777777777,35.0,1017.0,Good,2024-07-15
Sydney,Snowy,24.0,30.0,52.0,988.0,Moderate,2003-02-24
Berlin,Rainy,-4.0,10.0,110.0,990.0,Poor,2021-07-15
Rome,Rainy,37.0,17.997777777777777,72.0,1015.0,Poor,2020-12-25
Sydney,Snowy,-4.0,15.0,77.0,950.0,Poor,2013-08-17
Moscow,Clear,13.0,15.0,90.0,1024.0,Moderate,2013-12-19
Berlin,Rainy,11.0,25.0,42.0,1006.0,Moderate,2008-10-27
Sydney,Snowy,-1.0,10.0,59.08647450110865,992.0,Good,2009-03-10
Beijing,Cloudy,18.0,1.0,43.0,1005.0,Moderate,2022-12-02
Paris,Clear,37.0,10.0,42.0,980.0,Poor,2008-05-08
New York,Clear,35.0,25.0,63.0,984.0,Good,2011-03-31
Beijing,Stormy,-7.0,10.0,48.0,1003.0,Good,2016-10-13
Paris,Snowy,-9.0,1.0,91.0,1019.0,Moderate,2020-09-28
Rome,Snowy,-1.0,1.0,5.0,1022.0,Good,2015-01-05
Tokyo,Snowy,13.8980044345898,10.0,50.0,999.0,Good,2023-10-10
Paris,Snowy,10.0,15.0,26.0,1000.0,Good,2019-03-03
Rome,Clear,35.0,17.997777777777777,59.08647450110865,1018.0,Moderate,2021-01-30
Paris,Stormy,37.0,30.0,88.0,1004.0,Moderate,2014-06-06
Beijing,Snowy,34.0,15.0,20.0,1023.0,Good,2008-04-06
Madrid,Rainy,-9.0,1.0,80.0,1019.0,Good,2011-01-10
Madrid,Rainy,28.0,100.0,31.0,985.0,Poor,2001-10-22
Tokyo,Cloudy,9.0,50.0,52.0,989.0,Poor,2012-06-28
London,Clear,40.0,100.0,38.0,1013.0,Poor,2018-12-19
New York,Snowy,28.0,5.0,66.0,1006.0,Moderate,2016-03-10
Moscow,Snowy,37.0,10.0,5.0,993.0,Poor,2008-06-21
Paris,Stormy,12.0,1.0,59.08647450110865,997.0,Poor,2015-03-28
Paris,Snowy,18.0,20.0,59.08647450110865,1012.0,Poor,2024-08-27
Berlin,Clear,2.0,17.997777777777777,73.0,997.0,Moderate,2017-12-11
New York,Stormy,7.0,17.997777777777777,77.0,986.0,Good,2006-04-02
Tokyo,Clear,-2.0,5.0,33.0,999.0,Poor,2020-02-19
Berlin,Snowy,4.0,25.0,36.0,1009.0,Good,2019-04-20
Moscow,Rainy,-8.0,1.0,96.0,1007.0,Poor,2001-09-20
Sydney,Cloudy,9.0,30.0,39.0,987.0,Good,2014-02-15
Madrid,Clear,-8.0,25.0,66.0,1020.0,Good,2018-10-06
Paris,Clear,18.0,30.0,5.0,982.0,Poor,2000-10-10
Sydney,Stormy,-2.0,5.0,75.0,1001.795154185022,Good,2003-07-05
Beijing,Cloudy,32.0,15.0,79.0,1001.795154185022,Poor,2000-09-03
London,Clear,34.0,15.0,93.0,989.0,Moderate,2006-08-22
Rome,Cloudy,32.0,1.0,26.0,989.0,Good,2003-12-20
Paris,Cloudy,13.8980044345898,25.0,25.0,1001.795154185022,Good,2011-06-08
Paris,Clear,-2.0,20.0,59.08647450110865,1021.0,Poor,2020-03-05
Paris,Snowy,18.0,25.0,97.0,1022.0,Good,2014-10-23
London,Rainy,0.0,15.0,55.0,994.0,Moderate,2007-04-09
Moscow,Rainy,3.0,20.0,57.0,991.0,Good,2005-12-13
London,Rainy,4.0,30.0,35.0,1001.0,Poor,2004-07-12
Sydney,Stormy,-4.0,10.0,93.0,984.0,Moderate,2006-02-13
Beijing,Snowy,27.0,1.0,99.0,1005.0,Poor,2022-01-28
New York,Stormy,13.8980044345898,1.0,90.0,1050.0,Moderate,2024-04-28
Madrid,Snowy,34.0,25.0,89.0,1000.0,Moderate,2005-09-19
Tokyo,Snowy,-5.0,5.0,74.0,1021.0,Good,2014-10-13
New York,Snowy,-1.0,30.0,31.0,1021.0,Moderate,2017-03-10
Paris,Stormy,3.0,20.0,44.0,994.0,Good,2000-11-18
Tokyo,Clear,26.0,17.997777777777777,5.0,1020.0,Good,2014-01-27
Sydney,Rainy,-100.0,15.0,37.0,1009.0,Good,2007-05-05
Moscow,Stormy,17.0,5.0,58.0,991.0,Poor,2000-10-23
Berlin,Snowy,-8.0,30.0,75.0,1021.0,Good,2004-07-20
Madrid,Rainy,-7.0,1.0,62.0,993.0,Poor,2004-06-26
Beijing,Stormy,20.0,100.0,80.0,1020.0,Moderate,2006-03-17
Rome,Clear,9.0,10.0,43.0,994.0,Poor,2007-04-29
Beijing,Stormy,35.0,15.0,88.0,1001.795154185022,Good,2002-11-21
London,Stormy,34.0,30.0,94.0,950.0,Poor,2018-10-20
Madrid,Snowy,2.0,20.0,83.0,985.0,Moderate,2009-03-15
London,Rainy,27.0,1.0,27.0,1009.0,Good,2022-08-22
New York,Stormy,26.0,5.0,59.08647450110865,1015.0,Good,2022-07-11
Madrid,Stormy,16.0,25.0,53.0,1017.0,Poor,2011-10-30
Rome,Rainy,-9.0,20.0,66.0,999.0,Poor,2001-12-13
Berlin,Clear,0.0,15.0,75.0,1003.0,Moderate,2020-01-20
Berlin,Snowy,13.8980044345898,17.997777777777777,51.0,998.0,Moderate,2004-05-24
Madrid,Stormy,-4.0,20.0,77.0,984.0,Moderate,2007-05-09
Madrid,Stormy,-4.0,15.0,91.0,1001.795154185022,Good,2008-03-25
Tokyo,Stormy,24.0,5.0,52.0,1022.0,Good,2010-04-24
Paris,Clear,34.0,17.997777777777777,62.0,1021.0,Moderate,2023-04-02
Madrid,Cloudy,-8.0,20.0,71.0,950.0,Poor,2019-10-30
Sydney,Clear,-6.0,5.0,45.0,950.0,Moderate,2022-06-10
Tokyo,Cloudy,10.0,30.0,58.0,1004.0,Moderate,2004-05-20
Sydney,Snowy,9.0,5.0,87.0,1001.795154185022,Poor,2021-12-20
